,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,recent_commit_count,new_addition
0,USYD-beamer-theme,https://github.com/malramsay64/usyd-beamer-theme,malramsay64/usyd-beamer-theme,template,['latex'],https://github.com/malramsay64/usyd-beamer-theme,MIT,2016-09-10 12:41:47,2021-05-22 03:54:42,2021-05-20 07:30:50,60.0,18.0,5.0,12.0,1.0,4.0,34.0,2018-08-10 07:34:31,0.1.1,3890.0,54.0,4.0,A Beamer theme that adheres to the University of Sydney Branding.,5.0,11,False,1.0,,
1,SpikeNet,https://github.com/BrainDynamicsUSYD/SpikeNet,BrainDynamicsUSYD/SpikeNet,study_research_tools,"['matlab', 'cpp', 'html']",https://github.com/BrainDynamicsUSYD/SpikeNet,Apache-2.0,2016-03-14 03:56:16,2023-07-18 16:27:22,2023-07-18 16:27:22,729.0,5.0,14.0,1.0,15.0,14.0,14.0,2022-07-07 10:46:30,V1.0,,,1.0,A computational platform for studying spiking neural circuits developed by Dr. Pulin Gongs group at University of..,10.0,8,True,1.0,,
2,usydColours,https://github.com/Sydney-Informatics-Hub/usydColours,Sydney-Informatics-Hub/usydColours,usyd_theme_gadgets,['r'],https://github.com/Sydney-Informatics-Hub/usydColours,,2020-06-15 03:27:56,2024-05-22 02:25:52,2024-05-22 02:25:51,10.0,2.0,6.0,,,,6.0,2024-05-22 02:09:42,1.1.0,,,2.0,University of Sydney colour palettes for ggplot2.,3.0,7,True,1.0,3.0,
3,DeepRacer,https://github.com/MatthewSuntup/DeepRacer,MatthewSuntup/DeepRacer,course_project,['python'],https://github.com/MatthewSuntup/DeepRacer,,2020-08-09 09:28:47,2020-10-07 06:06:36,2020-10-07 06:06:29,53.0,14.0,2.0,,,,49.0,,,,,,An overview of our teams strategy and development for USYDs 2020 AWS DeepRacer competition.,2.0,4,False,1.0,,
4,STAT5003,https://github.com/Qiuzusyd/STAT5003,Qiuzusyd/STAT5003,learn_material,['html'],https://github.com/Qiuzusyd/STAT5003,,2023-04-03 08:03:39,2024-02-29 04:18:21,2024-02-29 04:18:21,3.0,5.0,,,,,33.0,,,,,,This repository is used for sharing learning materials about Computational Statistical Methods (STAT 5003) at the..,2.0,4,True,1.0,,
5,COMP5318,https://github.com/co234/COMP5318,co234/COMP5318,course_project,"['jupyter', 'html']",https://github.com/co234/COMP5318,,2019-04-08 09:24:21,2022-05-24 07:51:10,2022-05-24 07:51:10,27.0,3.0,1.0,,,,14.0,,,,,,Tutorial materials for COMP5318-USYD.,,4,False,1.0,,
6,multi_robot_perception,https://github.com/jessemorris/multi_robot_perception,jessemorris/multi_robot_perception,course_project,,https://github.com/jessemorris/multi_robot_perception,,2020-09-07 06:33:50,2021-05-14 15:11:41,2021-05-14 15:11:33,202.0,1.0,1.0,,1.0,,9.0,,,,,,Ma thesis @usyd.,,4,False,1.0,,
7,usyd_wams_calculator,https://github.com/LiZeLim/usyd_wams_calculator,LiZeLim/usyd_wams_calculator,misc,,https://github.com/LiZeLim/usyd_wams_calculator,MIT,2024-07-04 01:48:16,2024-07-04 02:21:19,2024-07-04 02:21:15,5.0,,1.0,,,,,,,,,,A EIHWAM + WAM calculator for USYD Students.,,4,True,1.0,5.0,True
8,mtrx5700-resources,https://github.com/ACFR-RPG/mtrx5700-resources,ACFR-RPG/mtrx5700-resources,learn_material,,https://github.com/ACFR-RPG/mtrx5700-resources,,2023-01-20 04:58:29,2024-01-24 04:23:05,2024-01-24 04:23:01,36.0,1.0,1.0,3.0,,,10.0,,,,,,"Quick-start guides, helper code, tips and tricks for use in MTRX5700 @ The University of Sydney. Copyright.",3.0,3,True,2.0,,
9,usyd-work,https://github.com/antrikshdhand/usyd-work,antrikshdhand/usyd-work,learn_material,,https://github.com/antrikshdhand/usyd-work,,2022-07-19 11:44:36,2024-06-18 06:34:38,2024-06-18 06:34:35,79.0,,1.0,,,,,,,,,,A repo holding assignments from my USYD coursework.,4.0,3,True,2.0,2.0,True
10,USYDTemplates,https://github.com/emitanaka/USYDTemplates,emitanaka/USYDTemplates,template,['r'],https://github.com/emitanaka/USYDTemplates,,2019-01-22 06:41:21,2019-02-10 11:42:44,2019-02-10 11:42:35,4.0,2.0,5.0,,1.0,,9.0,,,,,,R Markdown templates for the University of Sydney.,2.0,2,False,3.0,,
11,COMP5347-Web-Application-Development,https://github.com/kunzhang1110/COMP5347-Web-Application-Development,kunzhang1110/COMP5347-Web-Application-Development,learn_material,['web'],https://github.com/kunzhang1110/COMP5347-Web-Application-Development,,2018-09-29 06:31:16,2023-11-20 04:52:14,2023-11-20 04:19:24,1.0,7.0,1.0,,,,4.0,,,,,,Solutions for COMP5347 Web Application Development from the University of Sydney.,,2,True,3.0,,
12,COMP2017-Study-Notes,https://github.com/Phoebezuo/COMP2017-Study-Notes,Phoebezuo/COMP2017-Study-Notes,learn_material,['cpp'],https://github.com/Phoebezuo/COMP2017-Study-Notes,,2020-08-12 14:44:49,2020-08-12 15:00:58,2020-08-12 15:00:57,2.0,4.0,1.0,,,,14.0,,,,,,Study Notes for COMP2017 at USYD.,2.0,1,False,3.0,,
13,modal-symbolic-learning-course,{},https://github.com/aclai-lab/modal-symbolic-learning-course,learn_material,"['html', 'jupyter']",,,,,,,,,,,,,,,,,,,,0,False,,,
