,name,homepage,github_id,category,labels,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,recent_commit_count,trending
0,USYD-beamer-theme,https://github.com/malramsay64/usyd-beamer-theme,malramsay64/usyd-beamer-theme,template,['latex'],https://github.com/malramsay64/usyd-beamer-theme,MIT,2016-09-10 12:41:47,2021-05-22 03:54:42,2021-05-20 07:30:50,60.0,21.0,5.0,12.0,1.0,4.0,35.0,2018-08-10 07:34:31,0.1.1,4276.0,55.0,4.0,A Beamer theme that adheres to the University of Sydney Branding.,5.0,12,False,1.0,,
1,SpikeNet,https://github.com/BrainDynamicsUSYD/SpikeNet,BrainDynamicsUSYD/SpikeNet,study_research_tools,"['matlab', 'cpp', 'html']",https://github.com/BrainDynamicsUSYD/SpikeNet,Apache-2.0,2016-03-14 03:56:16,2023-07-18 16:27:22,2023-07-18 16:27:22,729.0,6.0,14.0,1.0,15.0,14.0,15.0,2022-07-07 10:46:30,V1.0,,,1.0,A computational platform for studying spiking neural circuits developed by Dr. Pulin Gongs group at University of..,10.0,8,False,1.0,,
2,SydneyUniversityMathematicsNotes,https://github.com/ajtulloch/SydneyUniversityMathematicsNotes,ajtulloch/SydneyUniversityMathematicsNotes,learn_material,,https://github.com/ajtulloch/SydneyUniversityMathematicsNotes,,2011-12-12 01:30:40,2024-05-11 22:58:43,2013-11-10 00:41:05,25.0,15.0,14.0,3.0,,,37.0,,,,,,Contains lecture notes for several Sydney University advanced mathematics courses. Contributions welcomed!.,4.0,6,False,1.0,,
3,usydColours,https://github.com/Sydney-Informatics-Hub/usydColours,Sydney-Informatics-Hub/usydColours,usyd_theme_gadgets,['r'],https://github.com/Sydney-Informatics-Hub/usydColours,,2020-06-15 03:27:56,2024-08-23 05:34:17,2024-08-22 08:41:32,13.0,2.0,6.0,2.0,1.0,,8.0,2024-05-22 02:09:42,1.1.0,,,2.0,University of Sydney colour palettes for ggplot2.,3.0,5,True,1.0,,
4,DeepRacer,https://github.com/MatthewSuntup/DeepRacer,MatthewSuntup/DeepRacer,course_project,['python'],https://github.com/MatthewSuntup/DeepRacer,,2020-08-09 09:28:47,2020-10-07 06:06:36,2020-10-07 06:06:29,53.0,16.0,2.0,,,,52.0,,,,,,An overview of our teams strategy and development for USYDs 2020 AWS DeepRacer competition.,2.0,4,False,1.0,,
5,COMP5318,https://github.com/co234/COMP5318,co234/COMP5318,course_project,"['jupyter', 'html']",https://github.com/co234/COMP5318,,2019-04-08 09:24:21,2022-05-24 07:51:10,2022-05-24 07:51:10,27.0,3.0,1.0,,,,17.0,,,,,,Tutorial materials for COMP5318-USYD.,,4,False,1.0,,
6,multi_robot_perception,https://github.com/jessemorris/multi_robot_perception,jessemorris/multi_robot_perception,course_project,,https://github.com/jessemorris/multi_robot_perception,,2020-09-07 06:33:50,2021-05-14 15:11:41,2021-05-14 15:11:33,202.0,1.0,1.0,,1.0,,9.0,,,,,,Ma thesis @usyd.,,4,False,1.0,,
7,Anomaly-Detection-For-IoT-Devices,https://github.com/Tim-101/Anomaly-Detection-For-IoT-Devices,Tim-101/Anomaly-Detection-For-IoT-Devices,course_project,,https://github.com/Tim-101/Anomaly-Detection-For-IoT-Devices,,2020-06-23 02:36:31,2020-06-30 05:50:04,2020-06-30 05:50:03,31.0,3.0,1.0,,,,4.0,,,,,,This project is part of my capstone project at The University of Sydney.,,4,False,1.0,,
8,COMP5328_assignment,https://github.com/considineyang/COMP5328_assignment,considineyang/COMP5328_assignment,learn_material,,https://github.com/considineyang/COMP5328_assignment,Apache-2.0,2023-10-02 05:17:13,2023-10-09 05:27:45,2023-10-09 05:27:45,5.0,,1.0,,,,,,,,,,COMP5328 advanced machine learning in university of sydney assignments.,,4,False,1.0,,
9,mtrx5700-resources,https://github.com/ACFR-RPG/mtrx5700-resources,ACFR-RPG/mtrx5700-resources,learn_material,,https://github.com/ACFR-RPG/mtrx5700-resources,,2023-01-20 04:58:29,2024-01-24 04:23:05,2024-01-24 04:23:01,36.0,1.0,1.0,3.0,,,10.0,,,,,,"Quick-start guides, helper code, tips and tricks for use in MTRX5700 @ The University of Sydney. Copyright.",3.0,3,True,2.0,,
